Name;Кубики;Большие продажи;Кто хочет стать миллионером?;Поле чудес;4 фотки 1 слово;Бесконечное лето;Рандеву с незнакомкой;Heroes of Might and Magic;King's Bounty;Heroes II;Pocket Heroes;Quest of the Hero;The Path;Dear Esther;Journey;The Stanley Parable;Gone Home;Fibrillation;Pacman;Lode Runner;Bomberman;Outlast;Alien: Isolation;Penumbra;Resident Evil;Silent Hill;Amnesia: The Dark Descent;SOMA;Condemned;Dead Space;Alan Wake;Call of Duty;Medal of Honor;Crysis;Far Cry;Battlefield;DOOM;Wolfenstein;Bulletstorm;Quake;Championship Manager;World Soccer Winning Eleven;Pro Evolution Soccer;NBA;IL-2 Sturmovik;Silent Hunter;Freelancer;Flight Simulator;The Sims;Singles;Spore;SimCity;Caesar;Immortal Cities;Glory of the Roman Empire;Shogun: Total War;Company of Heroes;Commandos: Behind Enemy Lines;Transistor;Silent Storm;Valkyria Chronicles;Jagged Alliance;The Banner Saga;Wasteland;Desperados: Wanted Dead or Alive;Blackguards;Chess Ultra;Tetris Ultimate;Bejeweled;Планета самоцветов
Reginald Hunter;0;4.12;0;2.77;0;0;0;0;0;0;0;0;0;0;3.86;0;0;0;0;0;0;0.86;0;2.63;4.74;0;0;0;4.54;0;1.79;0;0;0;0;0;0;0;0;4.42;3.27;0;0.97;0;0;0;0;0;0;0;0;0;0;0;0;3.93;0.56;0;2.67;0;0;0;0;0;0;0;0;3.28;0;0
Reginald Flynn;0;0;0;0;0;0;0;0;0;0;0;1.66;0;0;3.58;0;0;0;0;0;0;0;0;0;0;0;4.56;0;0;0;0;0;4.29;0;0;0;3.10;0;4.42;0;4.23;2.23;0.63;0;0;0;0.08;0;0;0;0;0;2.22;0;4.74;0;0;0;3.44;0;3.06;0;1.60;0.10;0;0;0;0;0;0
Cassie Nichols;0;0.47;0;0;3.48;0;0;0;0;0;0;0;0;0;0;0.59;0;0;0;0;0;0;0;0;0;3.53;0;0;0;0;2.52;0;4.86;0;0;0;0;0;0;0;0;3.50;2.70;4.34;0.44;0;1.98;0;0;0;0;0;0;0;0;2.59;0;0;0;0;0;1.84;0;0;0;0;3.78;0.39;1.85;0
Jennifer Anderson;2.18;2.54;0;0;0;3.42;0;0;0;0;0.37;0;3.95;0;0;3.77;0;0;2.13;0;0;0;0;0;1.16;0;0;0;0;0;0;0;1.89;0;0;0;0;0;0;0;0;3.74;0;0;0;2.83;0.09;2.72;0;0;0;4.07;1.96;0;0;0;0;0;0;0;2.82;0;0;4.80;0;0;0;0;0;0
Grace Edwards;2.69;0;0;0;0;0;0;0;0;0;1.88;0;0;0;3.30;0.70;0;0;0;0;0;0.50;0;0;0;0;0;0;1.51;0;1.89;0;0;0;0;0;0;0;2.16;0;4.06;0;0;2.83;0;0;0;0;0;0;0;0;1.05;0;0;0;0;0;4.46;3.56;0;0;0;0;0;0.09;0;0;0;0
David Yeager;0;0;0;0;0;0;0;0;0;0;0;4.75;0;0;1.38;0;0;0;0;0;3.35;0;0;0;3.13;0;0;0;0;0;4.39;0;0;0;1.80;0;0;0;0;0;0;0;3.93;0;0;0;4.77;0;0;0;0;0;0;3.87;0;2.53;0;0;0.16;0;0;0;0;0;0;3.35;0;1.92;0;3.94
Marilyn Pierce;0;0;0;4.95;0;0;0;1.98;0;0;0;0;0;0;0;1.93;0;0;0;0;0;0;0;0.27;0;0;0;0;0;0.22;0;0;3.28;2.43;1.28;2.23;0;0;0;4.20;0;0;0;0;0;0;0.74;0;0;0;0;0;0;0;4.67;0;0;0;0;0;0;0;0;2.46;1.95;0;0;1.80;0;2.17
Ian Schroeder;4.41;0;0;0;0;0;0;0;0;2.99;0;0.66;0;0;0;0;0;0;4.13;0;0;0;0;0;0;0;2.74;0;1.56;0;0;0;0;0;1.53;0;0;0;0;3.84;0;0;0;0;0;0;0;0;3.59;0;0;2.28;0;0;0;0;0;0;0;0;0;0;0;1.93;0;0;0;0;0.06;0
Marilyn Cavenaugh;0;0;0;3.65;3.82;0;0;0;0;0;0;0;0;0;0;4.26;0;0;0;0;3.91;0;0;0;0;0;0;4.32;0;0;0;0;0;3.58;3.10;0;3.53;0;0;0;0;0;0;2.03;0;0;0;0;3.62;0;0;3.21;0;0;0.49;0.98;0;0;0;1.11;0;0;1.68;0;0;2.09;0;0;0;0
Stephanie Gilliam;4.28;0;0;0;0;0;0;4.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.61;3.28;0;0;0;0;0;0;0;0;0;0;0;0;4.59;0;0;0;0;0.60;2.68;0;0;0;0;0;0;0;0;0;4.44;0;0;3.46;0.91;3.73;0;0;0;0;0;0;0;0;3.49;0
Mabel Winters;0.38;3.23;4.82;0;0;4.08;4.57;1.16;0;0;4.86;3.08;0.02;0.27;0;0;3.74;3.49;0;0;0;0;0;2.60;0;0;0;0;0;0.91;0;0;0;0;0;0;0;0;0.28;0;1.76;0;0;0;0;0;0;0;0;0;0;0;0.37;0;0;0;0;3.67;4.81;0;1.22;0;0;4.15;0;0;0;0;0;0
Marcia Kraemer;0;0;0;0;0;0;0;0;0;0;0;0;0;4.93;0;0;0;2.81;0;0;0;4.00;0;0;2.28;0;3.93;1.03;0.63;0;0;0;0;0;0;0;2.32;1.30;0;0.81;0;0;0;0;0;0;3.48;0;0;2.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16;0
Shannon Flynn;0;0.43;0;2.17;0;0;0;0;0.77;1.81;0;2.69;2.79;0;4.35;0;0;0.78;0;0;0;4.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.68;3.09;4.88;2.74;0;1.24;0;4.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.40;0;0;0;1.79;0;0
Jennifer Cavenaugh;0;0;0;0;0;0;0;0;0;4.74;0;0;0;0;0.81;0;4.94;0;0;0;4.40;4.63;0;0;0;2.07;0;0;0;0;0;0;0;0;0;2.86;0;0;0;3.19;0;0;2.16;2.33;3.38;0;0;0;0;0;0;0;0.13;1.31;0;0;0;1.25;0;0;0;0;0;0;0.76;2.10;0;0;0.46;0
Jean Jenkins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.71;3.64;0;0;4.85;0;2.10;0;0;2.70;4.16;0;3.97;0;0;0;0;0;0;0;4.04;0;0;0;0;0;0;0;0;0;0;0;0;0;3.36;0;0;0;0;0;0.06;0;0;0;0;4.50;0;4.15;0;0;0;0;0.58
Michael Schmidt;0;0;0;1.19;0;0;0;0;3.32;2.39;0;0;0;0;0;0;0;0;0.60;0;0;0;0;0;0;0;0;0;0.88;0;0;0;0;0;0;0;0;0;0;3.65;0;0;0;0;0;0;0;3.76;0;0;0;0;0;0;0;0;0;0;1.87;0;0.46;0;0;0;0;0;0;0;0;0
Hayley Hampton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.14;0;0;4.88;3.09;0;0;4.93;3.30;0;0;0;0;1.76;0;1.77;0;0;0;0;1.27;0;0;0;0;0;0;0;0;4.14;4.92;0;0;0;3.27;3.32;0;0;0;0;2.02;0;0;0.31;3.14;0;0;0;0;0;0;0;0;0
Mary Ellen Sawyer;0;0;0;0;0;0;0;0;2.35;0;0;0;0;3.09;0;0;0;0;0;0;0;0;0;0;0;4.35;0;0;2.53;0;0.71;0;0;0;0;0;0;2.44;0;0;0;0;0;0;0;0;0;0;0;0;0;1.79;3.45;0;1.09;0;0;4.77;0;0;0;0;1.87;0;0;0;2.20;0;0;0
Kathleen Kraemer;0;0;0;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.15;0;0;0;0;0;0.02;4.70;0;0;4.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31;0;0;0;0.72;0;0;0;0;0;0;0;4.04;0;0;0
Quincey Hampton;0;0;0;0;0;0;0.19;0;0;0;0;0;0;0;0;0;0;0;0.60;0;0;0;2.56;1.14;0;0;0;0;0;0;0;3.42;0;0;4.34;0;0;0;0;2.59;0;4.59;0;0;3.39;3.29;0;0;0;3.03;4.77;3.75;0;3.21;0;0;0;0;0;1.80;0;2.19;0;0;0;0;0;0;0;0
Peter Douglas;0;0;0;0;2.22;0;0;0;0;2.58;3.52;0;3.71;0;0;0;0;0;0;2.03;0;0;0;0.85;0;4.39;4.67;0;0;0.80;2.21;3.81;4.86;0;0;0;0.11;0;0;0;1.80;1.76;0;1.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.30;0;0;0;0;0;0;0;0
Shannon Blum;0;0;1.78;0;0;0;0;0;1.89;0;0;0;0;0;0;0;0;4.59;0;0;0;0;3.05;0;4.64;0;0;0;0;0;0;0;0;0;0;0;0;0;3.81;0;0;3.24;0;0;0.13;0;0;2.12;0;0;0;0;3.32;0;0;0;0;0;0;0;0;0;0;0;0.97;0;0;0;0;0
Quincey Sawyer;4.37;0;0;0;0;3.15;0;0;0;0;4.65;0;0;0;0;0;0;0;0;0;0;0;1.62;0;0;0;4.14;0;0;0;0;0;3.76;0;0;1.16;0;0;0;4.64;0;0;0;0;0;2.20;0;0;0;0;0;4.56;0;0;0;0;0;1.61;0;0;0;0;0;0;4.87;0;0;0;0;0
Nathen Edwards;0;0;0;0;0;0.76;1.89;0;0.38;0;3.88;0;0;4.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.02;0;0;1.89;0;0;0;2.32;0;0;0;4.46;0;0;0;0;0;0;0;0;1.81;0;0;4.98;0;0;0;0;0;0;0;0.76;0;2.50;0;0;1.04;0;0;0
Bob Johnson;0;0;0;0;0;0;0;0;3.62;0;1.29;0;0;0;0;0;0;0;0;4.52;0;4.88;0;0;0;0;1.90;1.72;0;0;0;0;0;0.26;4.07;0;1.52;0;0;0;1.77;0;0.38;0;0;0;3.35;0;0;0;0;0.58;0;0;0;0;0;0;0;0;0;0;2.71;0;2.21;0;0;0;0;3.76
Ernie Anderson;0;3.43;1.33;0;0;0;0;0;0;0;3.55;2.29;0;0;0.59;0;0;0;0;0;0;0;1.17;0;0;0;1.21;0.65;0;3.52;0;4.14;0;0;3.15;0;4.29;0;0;0;0;0;0;3.34;0;0;0;0;0;0;4.70;0.33;1.53;0;0;0;0;0;0;2.34;0;0;0.78;1.89;0;0;0;0;0;0
Bonnie Smith;0;0;0;0;0;0;0;0;0;0;3.65;0;0;0;0;0;0;0.83;0;0;0;0;0;0;0;0;0;0;0;0;1.13;0;0;0;0;0;1.25;0;0;0;4.52;0;0;0;0;0;0.83;0.39;0;0;0;0;0.93;3.09;0;0.58;4.22;0;0;0;0;0;0;0;0;1.89;0;0;0;0
Carlton Ford;0;0;0;0;0;4.26;4.10;0;0;0;0;0;0;0;0;0;4.07;0;0;0;0;4.30;0;0;0;0;0;0;0;0;0;0;0.90;0;0;0;4.86;4.36;0;2.98;0;0;0;1.05;0;0.77;0;0;0;0;0;0;0;0;0;0;4.93;0.27;0;0;0;0;0.93;0;0;2.01;0;0;4.87;4.32
Betty Holiday;0;0;0;0;3.83;0;4.39;0;0;0;0;0;0;0;0.18;0;1.33;0;0;0;0;0;0;0;0;0.91;0;0;0;4.90;0;0;0;4.84;0;0.22;0;0;0;2.92;0.14;0;0;4.88;0;0;0;0;0;0;0;0;0;0;0;2.43;0;0;0;1.06;0;4.93;0;1.79;0;0.27;2.40;4.39;0;2.71
Katherine Clark;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0.55;0;0;3.91;0;0;0;0;0;0;0;4.14;0;0;0;0.71;3.85;0;0;0;0;0;3.94;1.76;0;0;0;0.22;0;1.40;0;0;3.40;0;0;0;0;0;0;0;0;0;0;0;0;0;2.26;3.69;0;0;4.57;2.42;0.74;0.38;0;0;0
